,STATEFP,MIGSP,emigrants
0,1,6.0,3834
1,2,6.0,3885
2,4,6.0,57995
3,5,6.0,5068
4,6,1.0,5457
5,6,2.0,5688
6,6,4.0,34505
7,6,5.0,3530
8,6,8.0,20343
9,6,9.0,4787
10,6,10.0,1127
11,6,11.0,5274
12,6,12.0,26333
13,6,13.0,10833
14,6,15.0,12635
15,6,16.0,5822
16,6,17.0,23211
17,6,18.0,8086
18,6,19.0,2908
19,6,20.0,4544
20,6,21.0,3689
21,6,22.0,4913
22,6,23.0,2133
23,6,24.0,10333
24,6,25.0,14209
25,6,26.0,10677
26,6,27.0,7591
27,6,28.0,2950
28,6,29.0,7358
29,6,30.0,2713
30,6,31.0,2219
31,6,32.0,26843
32,6,33.0,1204
33,6,34.0,11621
34,6,35.0,6029
35,6,36.0,35607
36,6,37.0,12209
37,6,38.0,1222
38,6,39.0,9914
39,6,40.0,6209
40,6,41.0,19523
41,6,42.0,13968
42,6,44.0,1955
43,6,45.0,4303
44,6,46.0,1100
45,6,47.0,6214
46,6,48.0,38263
47,6,49.0,11255
48,6,50.0,722
49,6,51.0,15996
50,6,53.0,31766
51,6,54.0,752
52,6,55.0,6416
53,6,56.0,1767
54,6,72.0,2388
55,6,109.0,5132
56,6,110.0,6455
57,6,111.0,5915
58,6,113.0,4469
59,6,114.0,5241
60,6,120.0,2855
61,6,134.0,3428
62,6,138.0,7321
63,6,139.0,4600
64,6,163.0,3013
65,6,164.0,160
66,6,200.0,5645
67,6,207.0,41221
68,6,210.0,29606
69,6,213.0,618
70,6,214.0,321
71,6,215.0,13724
72,6,217.0,11861
73,6,229.0,1061
74,6,231.0,2562
75,6,233.0,16435
76,6,235.0,3952
77,6,240.0,5033
78,6,242.0,2066
79,6,243.0,2710
80,6,245.0,207
81,6,247.0,6613
82,6,251.0,5777
83,6,252.0,8746
84,6,253.0,4883
85,6,301.0,12576
86,6,303.0,42583
87,6,312.0,6846
88,6,313.0,3385
89,6,314.0,1942
90,6,317.0,1456
91,6,327.0,433
92,6,329.0,672
93,6,332.0,160
94,6,333.0,383
95,6,344.0,1070
96,6,362.0,4649
97,6,364.0,1785
98,6,365.0,186
99,6,370.0,214
100,6,373.0,519
101,6,374.0,4359
102,6,414.0,2291
103,6,416.0,37
104,6,427.0,500
105,6,440.0,1083
106,6,467.0,770
107,6,468.0,2701
108,6,469.0,2160
109,6,501.0,4101
110,6,555.0,4127
111,8,6.0,25338
112,9,6.0,3868
113,10,6.0,498
114,11,6.0,3602
115,12,6.0,25000
116,13,6.0,15611
117,15,6.0,11503
118,16,6.0,15818
119,17,6.0,16065
120,18,6.0,7449
121,19,6.0,4051
122,20,6.0,5933
123,21,6.0,4276
124,22,6.0,5367
125,23,6.0,1759
126,24,6.0,8081
127,25,6.0,12351
128,26,6.0,9103
129,27,6.0,6682
130,28,6.0,4514
131,29,6.0,8229
132,30,6.0,5156
133,31,6.0,3353
134,32,6.0,49191
135,33,6.0,1690
136,34,6.0,7059
137,35,6.0,5655
138,36,6.0,22435
139,37,6.0,17935
140,38,6.0,1716
141,39,6.0,10748
142,40,6.0,8909
143,41,6.0,39320
144,42,6.0,10928
145,44,6.0,1805
146,45,6.0,6631
147,46,6.0,2307
148,47,6.0,8216
149,48,6.0,64416
150,49,6.0,17152
151,50,6.0,909
152,51,6.0,17627
153,53,6.0,44877
154,54,6.0,1301
155,55,6.0,4920
156,56,6.0,2529
